variants,SampleType,Animal,kidney,liver,lung,input_norm
cN226,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN227,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN228,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN229,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN230,gDNA,m1,44334.00053600001,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN231,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN232,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN233,gDNA,m1,133001.9129400876,88667.95673804382,0.044333956202043806,2.255607407204277e-05
cN234,gDNA,m1,0.044333956202043806,44334.00053600001,88667.95673804382,2.255607407204277e-05
cN235,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN236,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN237,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN238,gDNA,m1,0.044333956202043806,88667.95673804382,0.044333956202043806,2.255607407204277e-05
cN239,gDNA,m1,88668045406.00056,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN240,gDNA,m1,0.044333956202043806,133001.9129400876,266003.781546219,2.255607407204277e-05
cN241,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN242,gDNA,m1,44334.00053600001,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN243,gDNA,m1,44334044870.00054,44334044870.00054,88668045406.00056,2.2556051515991252e-11
cN244,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN245,gDNA,m1,44334.00053600001,44334.00053600001,88668045406.00056,2.2556051515991252e-11
cN246,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN247,gDNA,m1,11083.508446623022,33250.50317287435,55417.497899125665,9.022422862001654e-05
cN248,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN249,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN250,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN251,gDNA,m1,44334.00053600001,88668045406.00056,44334044870.00054,2.2556051515991252e-11
cN252,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN253,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN254,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN255,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN256,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN257,gDNA,m1,44334.00053600001,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN258,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN259,gDNA,m1,44334.00053600001,88668045406.00056,44334.00053600001,2.2556051515991252e-11
cN260,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN261,gDNA,m1,66500.98972050541,66500.98972050541,44334.00053600001,4.511212558803403e-05
cN262,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN263,gDNA,m1,44594.86814590436,43767.288142069876,44459.93662354004,0.22233499981568183
cN264,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
