SampleType,gDNA,gDNA,gDNA
Animal,m1,m1,m1
Tissue,kidney,liver,lung
variants,,,
cN299,2.246030141724502e-05,0.0,0.0
cN300,0.0,0.0,2.239441035517535e-05
cN301,4.492060283449004e-05,0.0,2.239441035517535e-05
cN302,0.0,0.0,0.0
cN303,2.246030141724502e-05,0.0,0.0
cN304,0.0,0.0,0.0
cN305,0.0,0.0,0.0
cN306,0.0,4.481190204118214e-05,4.47888207103507e-05
cN307,0.0,0.0,0.0
cN308,0.0,0.0,0.0
cN309,2.246030141724502e-05,2.240595102059107e-05,0.0
cN310,2.246030141724502e-05,0.0,0.0
cN311,2.246030141724502e-05,6.72178530617732e-05,2.239441035517535e-05
cN312,0.0,0.0,0.0
cN313,0.0,0.0,0.0
cN314,0.0,2.240595102059107e-05,2.239441035517535e-05
cN315,0.0,0.0,0.0
cN316,0.0,0.0,0.0
cN317,0.0,0.0,0.0
cN318,0.0,0.0,0.0
cN319,2.246030141724502e-05,4.481190204118214e-05,0.0
cN320,2.246030141724502e-05,6.72178530617732e-05,0.0
cN321,2.246030141724502e-05,0.0,0.0
cN322,0.0,0.0,0.0
cN323,0.0,0.0,0.0
cN324,0.0,0.0,0.0
cN325,0.0,0.0,0.0
cN326,0.0,0.0,0.0
cN327,0.0,2.240595102059107e-05,0.0
cN328,0.0,2.240595102059107e-05,0.0
cN329,0.0,6.72178530617732e-05,6.718323106552604e-05
cN330,0.0,0.0,0.0
cN331,0.0,0.0,0.0
cN332,0.0,0.0,0.0
cN333,0.0,0.0,0.0
cN334,0.0,0.0,0.0
cN335,0.0,0.0,0.0
cN336,0.0,0.0,2.239441035517535e-05
cN337,4.492060283449004e-05,2.240595102059107e-05,0.0
cN338,0.0,0.0,2.239441035517535e-05
cN339,0.0,2.240595102059107e-05,2.239441035517535e-05
cN340,2.246030141724502e-05,2.240595102059107e-05,4.47888207103507e-05
cN341,0.0,0.0,0.0
cN342,0.0,0.0,0.0
cN343,0.0,2.240595102059107e-05,0.0
cN344,0.0,0.0,0.0
cN345,2.246030141724502e-05,6.72178530617732e-05,0.0
cN346,0.0,4.481190204118214e-05,0.0
cN347,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN348,0.0,0.0,0.0
cN349,0.00013476180850347013,6.72178530617732e-05,4.47888207103507e-05
cN350,0.0,0.0,0.0
cN351,0.0,0.0,0.0
cN352,0.0,0.0,0.0
cN353,0.0,6.72178530617732e-05,4.47888207103507e-05
cN354,0.0,0.0,0.0
cN355,6.738090425173506e-05,2.240595102059107e-05,2.239441035517535e-05
cN356,2.246030141724502e-05,6.72178530617732e-05,4.47888207103507e-05
cN357,2.246030141724502e-05,0.0,0.0
cN358,0.0,0.0,0.0
cN359,4.492060283449004e-05,0.0,0.0
cN360,0.0,0.0,4.47888207103507e-05
cN361,2.246030141724502e-05,2.240595102059107e-05,0.0
cN362,0.0,0.0,0.0
cN363,0.0,0.0,0.0
cN364,0.0,0.0,2.239441035517535e-05
cN365,0.0,0.0,0.0
cN366,0.0,0.0,0.0
cN367,2.246030141724502e-05,6.72178530617732e-05,2.239441035517535e-05
cN368,0.0,0.0,0.0
cN369,2.246030141724502e-05,4.481190204118214e-05,2.239441035517535e-05
cN370,0.09648945488848461,0.09939279872734198,0.0994759707976889
cN371,0.0,0.0,0.0
cN372,0.0,0.0,0.0
cN373,4.492060283449004e-05,0.0,2.239441035517535e-05
cN374,2.246030141724502e-05,0.0,0.0
cN375,0.0,0.0,0.0
cN376,0.0,0.0,2.239441035517535e-05
cN377,0.0,6.72178530617732e-05,4.47888207103507e-05
cN378,0.0,0.0,2.239441035517535e-05
cN379,0.0,0.0,0.0
cN380,0.0,0.0,0.0
cN381,0.0,0.0,0.0
cN382,2.246030141724502e-05,6.72178530617732e-05,6.718323106552604e-05
cN383,0.0,2.240595102059107e-05,0.0
cN384,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN385,0.0,0.0,0.0
cN386,0.0,0.0,0.0
cN387,0.0,0.0,4.47888207103507e-05
cN388,0.0,0.0,0.0
cN389,0.0,0.0,0.0
cN390,4.492060283449004e-05,0.0,0.0
cN391,0.0,0.0,0.0
cN392,0.0,2.240595102059107e-05,0.0
cN393,2.246030141724502e-05,6.72178530617732e-05,0.0
cN394,0.0,0.0,0.0
cN395,0.0,2.240595102059107e-05,2.239441035517535e-05
cN396,2.246030141724502e-05,0.0,0.0
cN397,0.0,0.0,0.0
cN398,0.0,0.0,0.0
cN399,0.0,0.0,2.239441035517535e-05
cN400,2.246030141724502e-05,0.0,0.0
cN401,4.492060283449004e-05,0.0,0.0
cN402,6.738090425173506e-05,6.72178530617732e-05,0.00011197205177587674
cN403,0.0,0.0,2.239441035517535e-05
cN404,0.0,0.0,0.0
cN405,0.00013476180850347013,0.00011202975510295535,0.0001343664621310521
cN406,0.0,2.240595102059107e-05,0.0
cN407,0.0,0.0,2.239441035517535e-05
cN408,0.0,0.0,0.0
cN409,6.738090425173506e-05,0.00015684165714413748,0.0001343664621310521
cN410,0.0,2.240595102059107e-05,2.239441035517535e-05
cN411,0.0,0.0,0.0
cN412,2.246030141724502e-05,0.0,0.0
cN413,0.0,0.0,0.0
cN414,2.246030141724502e-05,2.240595102059107e-05,6.718323106552604e-05
cN415,0.0,0.0,0.0
cN416,2.246030141724502e-05,2.240595102059107e-05,0.0
cN417,0.0,0.0,2.239441035517535e-05
cN418,0.0,4.481190204118214e-05,0.0
cN419,0.0,2.240595102059107e-05,0.0
cN420,0.0,4.481190204118214e-05,0.0
cN421,0.0,0.0,0.0
cN422,0.0,0.0,0.0
cN423,0.0,0.0,0.0
cN424,0.0,4.481190204118214e-05,0.0
cN425,0.0,0.0,0.0
cN426,4.492060283449004e-05,0.0,0.0
cN427,0.0,0.0,0.0
cN428,0.0,0.0,0.0
cN429,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN430,2.246030141724502e-05,6.72178530617732e-05,4.47888207103507e-05
cN431,0.0,0.0,0.0
cN432,0.0,0.0,0.0
cN433,0.0,0.0,0.0
cN434,0.0,0.0,0.0
cN435,0.0,0.0,0.0
cN436,2.246030141724502e-05,0.0,2.239441035517535e-05
cN437,2.246030141724502e-05,8.962380408236428e-05,8.95776414207014e-05
cN438,0.0,2.240595102059107e-05,0.0
cN439,0.0,2.240595102059107e-05,0.0
cN440,0.0,2.240595102059107e-05,2.239441035517535e-05
cN441,0.0,0.0,2.239441035517535e-05
cN442,0.0,0.0,0.0
cN443,0.0,0.0,0.0
cN444,0.0,0.0,0.0
cN445,2.246030141724502e-05,0.0,2.239441035517535e-05
cN446,2.246030141724502e-05,0.0,0.0
cN447,0.0,0.0,2.239441035517535e-05
cN448,0.0,0.0,2.239441035517535e-05
cN449,6.738090425173506e-05,2.240595102059107e-05,0.0
cN450,2.246030141724502e-05,2.240595102059107e-05,8.95776414207014e-05
cN451,0.0,2.240595102059107e-05,4.47888207103507e-05
cN452,0.0,2.240595102059107e-05,0.0
cN453,0.0,0.0,0.0
cN454,0.0006064281382656155,0.0004929309224530036,0.0006270434899449097
cN455,0.0,0.0,0.0
cN456,0.0,2.240595102059107e-05,0.0
cN457,2.246030141724502e-05,2.240595102059107e-05,0.0
cN458,0.0,0.0,0.0
cN459,0.0,0.0,0.0
cN460,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN461,0.0,0.0,2.239441035517535e-05
cN462,2.246030141724502e-05,0.0,4.47888207103507e-05
cN463,2.246030141724502e-05,6.72178530617732e-05,2.239441035517535e-05
cN464,4.492060283449004e-05,6.72178530617732e-05,4.47888207103507e-05
cN465,0.0,0.0,0.0
cN466,0.0,0.0,2.239441035517535e-05
cN467,0.0,2.240595102059107e-05,0.0
cN468,0.0,4.481190204118214e-05,0.0
cN469,0.0,0.0,0.0
cN470,0.0,0.0,0.0
cN471,2.246030141724502e-05,0.0,0.0
cN472,0.0,0.0,0.0
cN473,0.0,0.0,2.239441035517535e-05
cN474,0.0,0.0,0.0
cN475,0.0,2.240595102059107e-05,0.0
cN476,4.492060283449004e-05,0.0,4.47888207103507e-05
cN477,2.246030141724502e-05,0.0,0.0
cN478,0.0,0.0,0.0
cN479,2.246030141724502e-05,4.481190204118214e-05,0.0
cN480,0.0,0.0,0.0
cN481,2.246030141724502e-05,2.240595102059107e-05,0.0
cN482,0.0,0.0,0.0
cN483,0.0,0.0,0.0
cN484,6.738090425173506e-05,2.240595102059107e-05,2.239441035517535e-05
cN485,0.0,0.0,0.0
cN486,0.0,0.0,0.0
cN487,0.0,0.0,0.0
cN488,0.0,2.240595102059107e-05,2.239441035517535e-05
cN489,0.0,0.0,0.0
cN490,0.0,0.0,0.0
cN491,0.0,2.240595102059107e-05,0.0
cN492,0.0,2.240595102059107e-05,0.0
cN493,0.00015722210992071513,8.962380408236428e-05,0.00020154969319657813
cN494,4.492060283449004e-05,2.240595102059107e-05,4.47888207103507e-05
cN495,2.246030141724502e-05,6.72178530617732e-05,0.00011197205177587674
cN496,0.0,0.0,2.239441035517535e-05
cN497,8.984120566898008e-05,6.72178530617732e-05,4.47888207103507e-05
cN498,0.0,2.240595102059107e-05,0.0
cN499,0.0,0.0,2.239441035517535e-05
cN500,0.0,0.0,2.239441035517535e-05
cN501,2.246030141724502e-05,0.0,4.47888207103507e-05
cN502,8.984120566898008e-05,4.481190204118214e-05,0.0
cN503,0.0,0.0,2.239441035517535e-05
cN504,0.0,0.0,0.0
cN505,4.492060283449004e-05,6.72178530617732e-05,8.95776414207014e-05
cN506,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN507,4.492060283449004e-05,2.240595102059107e-05,0.0
cN508,0.0003593648226759203,0.0002688714122470928,0.0003359161553276302
cN509,4.492060283449004e-05,0.0,8.95776414207014e-05
